,MA,MB,MC,IA,IB,IC
TYPE,M3,M3,M3,M3,M3,M3
LF,0.75,0.75,0.75,0.8,0.8,0.8
Ra,0.02,0.02,0.02,0.01,0.005,0.01
Ls,1.8,1.8,1.8,3.1,4,3.1
Lps,0.12,0.19,0.19,0.1384,0.185,0.185
Lpps,0.104,0.14,0.14,0.121,0.16,0.16
Tpo,0.08,0.2,0.2,0.1028,0.8,0.35
Tppo,0.0021,0.0026,0.0026,0.0028,0.0044,0.0036
H,0.1,0.5,0.1,0.1,0.5,0.15
Etrq,0,2,2,0,2,2
Vtr1,0.5,0,0,0.6,0.6,0.6
Ttr1,0.5,9999,9999,0.3,0.5,1.5
Ftr1,0.33,0,0,0.3,0.3,0.3
Vrc1,1,1,1,1,1,1
Trc1,9999,9999,9999,9999,9999,9999
Vtr2,0.55,0,0,0.6,0.6,0.6
Ttr2,1,9999,9999,1,2,4
Ftr2,0.33,0,0,0.6,0.5,0.3
Vrc2,1,1,1,1,1,1
Trc2,9999,9999,9999,99999,99999,99999